SAFE MEBP Dashboard,,,,,,,,,,
,Block,Task_ID,Created_By,Responsible,Description,Raised_On,Status,Completed_Date,Type,Resolution_Notes
367,B BLOCK,7509,Nandakumar C R,Prasanth M,Terrace Staircase #1 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
368,B BLOCK,7511,Nandakumar C R,Prasanth M,Terrace Staircase #2 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
369,B BLOCK,7513,Nandakumar C R,Prasanth M,Terrace Staircase #3 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
370,B BLOCK,7515,Nandakumar C R,Prasanth M,Terrace Staircase #4 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
371,B BLOCK,7517,Nandakumar C R,Prasanth M,Terrace Staircase #5 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
372,K BLOCK,7519,Nandakumar C R,Jegathesh Johnson,Lift need to be integrated with FAS panel,2022-03-03,OPEN,,FIRE ALARM,Building Renovation- Services not allowed - Permission not given
373,K BLOCK,7521,Nandakumar C R,Jegathesh Johnson,"Staircase # 2, 4th floor MCP is not working",2022-03-03,F/O SUPPORT REQUIRED,,FIRE ALARM,Building Renovation- Services not allowed - Permission not given
374,K BLOCK,7523,Nandakumar C R,Praveen M P,3 no's Air release valve need to be replace at Terrace,2022-03-03,OPEN,,HYDRANT SYSTEM,Building Renovation- Services not allowed - Permission not given
375,K BLOCK,7525,Nandakumar C R,Praveen M P,Jockey pump base need to be replace,2022-03-03,OPEN,,FIRE FIGHTING,Building Renovation- Services not allowed - Permission not given
376,K BLOCK,7527,Nandakumar C R,Jegathesh Johnson,2way talk back system need to be rectify,2022-03-03,OPEN,,PA TALK BACK,Building Renovation- Services not allowed - Permission not given
377,K BLOCK,7529,Nandakumar C R,Praveen M P,4 no's Hose box door glass need to be replace,2022-03-03,OPEN,,HYDRANT SYSTEM,Building Renovation- Services not allowed - Permission not given
378,K BLOCK,7531,Nandakumar C R,Praveen M P,1 no Hydrant point need to be install at Terrace,2022-03-03,OPEN,,HYDRANT SYSTEM,Building Renovation- Services not allowed - Permission not given
379,K BLOCK,7533,Nandakumar C R,Prasanth M,L T Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
380,K BLOCK,7535,Nandakumar C R,Prasanth M,DG Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
381,K BLOCK,7537,Nandakumar C R,Prasanth M,Pump Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
382,K BLOCK,7539,Nandakumar C R,Prasanth M,Terrace Staircase-1 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
383,K BLOCK,7541,Nandakumar C R,Prasanth M,Terrace Staircase-2 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
384,K BLOCK,7543,Nandakumar C R,Prasanth M,Terrace Staircase-4 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
385,L2 BLOCK,7545,Venkateshappa,Prasanth M,L2 Passenger Lift-G Fixed Camera Failed,2022-03-03,COMPLETED,2022-04-13,CCTV,Rectified Working Normal
386,L2 BLOCK,7547,Venkateshappa,Prasanth M,L2 MLCP 4th Floor cam-4 Fixed Camera Failed,2022-03-03,COMPLETED,2022-04-13,CCTV,Rectified Working Normal
387,D4 BLOCK,7315,Sudeep,Praveen M P,Jockey pump footvalve issue water not lifting,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
388,D2 BLOCK,7317,Sudeep,Praveen M P,Diesel engine pump RPM not showing properly,2022-03-02,OPEN,,FIRE FIGHTING,
389,G6 MLCP,7319,Balakrishna,Prasanth M,L T Room Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
390,L5 BLOCK,7321,Dinakar Raj D,Praveen M P,Hydrant motor shaft issue,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Motor sent to Service center
391,L5 BLOCK,7323,Dinakar Raj D,Jegathesh Johnson,Listen mode not working,2022-03-02,OPEN,,FIRE ALARM,"The existing PA system has all the staircase speakers connected in a single pair of twisted cable. Which we have recommended for upgrading it with 2 listed options. 1. Integrated Fire alarm amplifier panel with Telephone and Mic. (Pilot version to be implemented in H2 Block) 2. Upgrade all the speakers (with call button), cables(2*1.5sq.mm armoured cable) and panel(40Zone Talk-back panel with call button). (Pilot version implemented in E2 and E2 MLCP)"
392,L5 BLOCK,7325,Dinakar Raj D,Praveen M P,Diesel tank measurement scale issue,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
393,L6 BLOCK,7327,Dinakar Raj D,Praveen M P,All floors sprinkler flow switch to be check,2022-03-02,OPEN,,FIRE FIGHTING,
394,L6 BLOCK,7329,Dinakar,Praveen M P,Hydrant pump cupping rubber bush issue,2022-03-02,F/O SUPPORT REQUIRED,,FIRE FIGHTING,Need spider bush
395,L6 BLOCK,7331,Dinakar Raj D,Jegathesh Johnson,Staircase no 2 1st to 5th floor and chiller plant hotter not working,2022-03-02,OPEN,,FIRE ALARM,
396,L6 BLOCK,7333,Dinakar Raj D,Praveen M P,Basement FHS 1 hose reel drum connecting hose to be replace,2022-03-02,COMPLETED,2022-12-05,FIRE FIGHTING,FHS hose reel drum connecting hose to be Completed
397,G1 BLOCK,7335,Satish,Prasanth M,Pump room Access control door not working,2022-03-02,OPEN,,ACCESS CONTROL,
398,G1 BLOCK,7337,Satish,Praveen M P,Fire DG #1 & 2 B-check need to be done,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
399,L6 BLOCK,7339,Dinakar Raj D,Praveen M P,Diesel tank measurement scale issue,2022-03-02,OPEN,,FIRE FIGHTING,
400,G2 BLOCK,7341,Satish,Praveen M P,Fire DG B-check need to be done,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
401,G1 BLOCK,7343,Satish,Praveen M P,2 no's Hydrant point need to be install @ Terrace,2022-03-02,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
402,G2 BLOCK,7345,Satish,Praveen M P,2 no's Hydrant point need to be install @ Terrace,2022-03-02,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
403,L6 BLOCK,7347,Dinakar Raj D,Jegathesh Johnson,PA system listen mode not working,2022-03-02,OPEN,,FIRE ALARM,Recommended for System Upgradation
404,L7 MLCP,7349,Dinakar Raj D,Praveen M P,Diesel line Hosepipe leakage,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
405,L7 MLCP,7351,Dinakar Raj D,Praveen M P,Diesel tank measurement scale issue,2022-03-02,OPEN,,FIRE FIGHTING,
406,L7 MLCP,7353,Dinakar Raj D,Jegathesh Johnson,PA system listen mode not working,2022-03-02,OPEN,,FIRE ALARM,Recommended for System Upgradation
407,L7 MLCP,7355,Dinakar Raj D,Prasanth M,STP access not working,2022-03-02,OPEN,,ACCESS CONTROL,
408,H2 BLOCK,7357,Ranjithm,Prasanth M,UB pump room access not working,2022-03-02,OPEN,,ACCESS CONTROL,
409,H2 BLOCK,7359,Ranjith m,Prasanth M,Terrace access control not working,2022-03-02,OPEN,,ACCESS CONTROL,
410,L7 MLCP,7361,Dinakar Raj D,Praveen M P,4th floor FHS 2 5th floor FHS 1 & 5 door glass need to be replace,2022-03-02,OPEN,,FIRE FIGHTING,
411,L6 BLOCK,7363,Dinakar Raj D,Prasanth M,Terrace service lift lobby access not working,2022-03-02,OPEN,,ACCESS CONTROL,
412,L6 BLOCK,7365,Dinakar Raj D,Prasanth M,Terrace starecase no 1 access not working,2022-03-02,OPEN,,ACCESS CONTROL,
413,L7 MLCP,7367,Dinakar Raj D,Praveen M P,All floors flow switch to be check,2022-03-02,OPEN,,SPRINKLER SYSTEM,
414,G3 BLOCK,7369,Balakrishna,Jegathesh Johnson,FAS - Talk Back System not working,2022-03-02,OPEN,,PA TALK BACK,Recommended for System Upgradation
415,G3 BLOCK,7371,Balakrishna,Prasanth M,L T Room A-wing Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
416,G3 BLOCK,7373,Balakrishna,Prasanth M,Terrace Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
417,G3 BLOCK,7375,Balakrishna,Prasanth M,Terrace B-wing Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
418,G3 BLOCK,7377,Balakrishna,Prasanth M,D G Room Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
419,G6 MLCP,7379,Balakrishna,Prasanth M,L T Room Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
420,L1 BLOCK,7381,Venkateshappa,Prasanth M,UB Passenger lift lobby Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
421,L1 BLOCK,7383,Venkateshappa,Prasanth M,LB Passenger lift lobby Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
422,L3 BLOCK,7385,Venkateshappa,Prasanth M,L T Room Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
423,L3 BLOCK,7387,Venkateshappa,Prasanth M,Pump room Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
424,L3 BLOCK,7389,Venkateshappa,Prasanth M,Terrace Staircase #1 Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
425,L3 BLOCK,7391,Venkateshappa,Prasanth M,Terrace Staircase # 2 Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
426,L3 BLOCK,7393,Venkateshappa,Prasanth M,Terrace Staircase # 3 Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
427,L3 BLOCK,7395,Venkateshappa,Prasanth M,Terrace Service lift lobby #1 Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
428,L3 BLOCK,7397,Venkateshappa,Prasanth M,Terrace Service lift lobby #2 Access Control Door not working,2022-03-02,OPEN,,ACCESS CONTROL,
429,H1 BLOCK,7399,Ranjith m,Jegathesh Johnson,Hooters not working in ground floor,2022-03-02,OFFER SHARED AWAITING PO,,FIRE ALARM,Panel is down due to short ckt (no UPS supply)
430,H1 BLOCK,7401,Ranjith m,Praveen M P,Fire DG #2 fuel tank measurement pipe line need to be replace,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
431,F2 BLOCK,7403,Manjunath Rao,Jegathesh Johnson,1 No. Smoke detector hanging @ near FAS room,2022-03-02,COMPLETED,2022-03-15,FIRE ALARM,work has been completed.
432,F3 BLOCK,7405,Manjunath Rao,Praveen M P,Sprinkler ICV #4 pressure gauge need to be replace,2022-03-02,COMPLETED,2022-05-19,SPRINKLER SYSTEM,8 no's?pressure gauge replaced
433,H1 BLOCK,7407,Ranjithm,Praveen M P,Fire DG #2 fuel inlet pipe damage need to be replace,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
434,H2 BLOCK,7409,Ranjithm,Prasanth M,GF LT room access control not working,2022-03-02,OPEN,,ACCESS CONTROL,
435,H2 BLOCK,7411,Ranjithm,Prasanth M,GF DG room access control not working,2022-03-02,OPEN,,ACCESS CONTROL,
436,H1 BLOCK,7413,Ranjithm,Praveen M P,Hydrant pump gland plate damage,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,gland plate replaced
437,H2 BLOCK,7415,Ranjithm,Praveen M P,Fire DG fuel measurements pipe need to be replace,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
438,H2 BLOCK,7417,Ranjith m,Jegathesh Johnson,Ground floor Hooters are not working,2022-03-02,F/O SUPPORT REQUIRED,,FIRE ALARM,"Team ill be visited to the block for checking the ,but client side not getting the proper permission for carry out the activity"
439,H2 BLOCK,7419,Ranjithm,Jegathesh Johnson,Ground floor talk back system not working,2022-03-02,OPEN,,PA TALK BACK,
440,H2 BLOCK,7421,Ranjithm,Praveen M P,Fire DG diesel measurement pipe line need to be replace,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
441,H2 BLOCK,7423,Ranjithm,Praveen M P,Fire DG 1 fuel inlet pipe need to be replace,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
442,H1 BLOCK,7425,Ranjith m,Jegathesh Johnson,2 way Talk back system is not working,2022-03-02,OPEN,,PA TALK BACK,Recommended for System Upgradation
443,H2 BLOCK,7427,Ranjith m,Praveen M P,UB hydrant point relocating,2022-03-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Offer shared Offer shared awaiting for PO
444,H2 BLOCK,7429,Ranjith m,Praveen M P,New YH point fixing in terrace,2022-03-02,COMPLETED,,FIRE FIGHTING,Not getting the permission for this activity
445,L6 BLOCK,7299,Dinakar Raj D,Praveen M P,Sprinkler on button indication light not working,2022-02-26,COMPLETED,2022-05-14,FIRE FIGHTING,
446,L6 BLOCK,7301,Dinakar Raj D,Praveen M P,Diesel engine on indication light not working,2022-02-26,COMPLETED,,FIRE FIGHTING,
447,L6 BLOCK,7303,Dinakar Raj,Praveen M P,Terrace booster pump on & off push button not working properly,2022-02-26,COMPLETED,,FIRE FIGHTING,
448,L6 BLOCK,7305,Dinakar Raj D,Praveen M P,6th floor inside Sprinkler delivery line butterfly valve leakage,2022-02-26,COMPLETED,,FIRE FIGHTING,Report shared
449,L6 BLOCK,7307,Dinakar Raj D,Jegathesh Johnson,Ground floor 1st 2nd 3rd & 5th hooter not working,2022-02-26,OPEN,,FIRE ALARM,"Due to the CPU issue system has not operational, we have already inform to the F/O ."
450,H2 BLOCK,7309,Ranjith m,Praveen M P,B wing fire DG sum sparks coming near starter while running DG,2022-02-26,OPEN,,FIRE FIGHTING,
451,H2 BLOCK,7311,Ranjith m,Praveen M P,B wing Sprinkler pump suction line gasket leckage,2022-02-26,COMPLETED,,FIRE FIGHTING,
452,E2 BLOCK,7313,Ananda M,Jegathesh Johnson,Colt FAS system & builder FAS system integration need to be done,2022-02-26,COMPLETED,2022-04-29,FIRE ALARM,Completed
453,G2 BLOCK,7065,Satish,Praveen M P,LB 10 No's rusted sprinkler collar need to be replace,2022-02-25,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
454,G2 BLOCK,7067,Satish,Praveen M P,UB 6 No's rusted sprinkler collar need to be replace,2022-02-25,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
455,G2 BLOCK,7069,Satish,Praveen M P,5 No's Sprinkler flow switch is not working,2022-02-25,OPEN,,SPRINKLER SYSTEM,
456,G2 BLOCK,7071,Satish,Praveen M P,1 no pressure gauge need to be install at ring main,2022-02-25,COMPLETED,2022-03-19,HYDRANT SYSTEM,Pressure gauge bush not available
457,G2 BLOCK,7073,Satish,Praveen M P,Sprinkler pump some times does not lift the water,2022-02-25,OPEN,,SPRINKLER SYSTEM,
458,G2 BLOCK,7075,Satish,Praveen M P,Sprinkler pump priming line NRV water passing,2022-02-25,OPEN,,SPRINKLER SYSTEM,
459,G2 BLOCK,7077,Satish,Praveen M P,Pressure switch calibration need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
460,G2 BLOCK,7079,Satish,Praveen M P,Sprinkler ICV pipeline water leakage need to rectify,2022-02-25,F/O SUPPORT REQUIRED,,SPRINKLER SYSTEM,Civil work not done
461,G2 BLOCK,7081,Satish,Jegathesh Johnson,2 floors hooter is activated directly,2022-02-25,COMPLETED,2022-02-26,FIRE ALARM,"rectification completed, now the hooter has been working fine."
462,G1 BLOCK,7083,Satish,Jegathesh Johnson,"Staircase #1, 4th Speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
463,G1 BLOCK,7085,Satish,Jegathesh Johnson,"Staircase #1, 8th Speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
464,G1 BLOCK,7087,Satish,Jegathesh Johnson,"Staircase #2, 7th floor Speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
465,G1 BLOCK,7089,Satish,Jegathesh Johnson,"Staircase #2, 8th floor Speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
466,G1 BLOCK,7091,Satish,Jegathesh Johnson,"Staircase #3, 7th floor Speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
467,G1 BLOCK,7093,Satish,Jegathesh Johnson,"Staircase #3, UB Speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
468,G1 BLOCK,7095,Satish,Jegathesh Johnson,"Staircase #1, 4th floor MCP is not working",2022-02-25,OPEN,,FIRE ALARM,
469,G1 BLOCK,7097,Satish,Jegathesh Johnson,"Staircase #1, 5th floor MCP is not working",2022-02-25,OPEN,,FIRE ALARM,
470,G1 BLOCK,7099,Satish,Praveen M P,Pressure switch calibration need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
471,G2 BLOCK,7101,Satish,Jegathesh Johnson,"Staircase #2, 3rd floor Hooter is not working",2022-02-25,OPEN,,FIRE ALARM,
472,G2 BLOCK,7103,Satish,Jegathesh Johnson,"Staircase #1, 3rd floor Hooter is not working",2022-02-25,OPEN,,FIRE ALARM,
473,G2 BLOCK,7105,Satish,Jegathesh Johnson,"Staircase #3, 3rd floor Hooter is not working",2022-02-25,OPEN,,FIRE ALARM,
474,G2 BLOCK,7107,Satish,Jegathesh Johnson,"Staircase #2, 3rd floor MCP is not working",2022-02-25,OPEN,,FIRE ALARM,
475,G2 BLOCK,7109,Satish,Jegathesh Johnson,"Staircase #1, 6th floor speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
476,G2 BLOCK,7111,Satish,Jegathesh Johnson,"Staircase #1, 7th floor speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
477,G2 BLOCK,7113,Satish,Jegathesh Johnson,"Staircase #2, 6th floor speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
478,G2 BLOCK,7115,Satish,Jegathesh Johnson,"Staircase #2, 7th floor speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
479,G2 BLOCK,7117,Satish,Jegathesh Johnson,"Staircase #3, 6th floor speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,FO support- required material from stock.
480,G2 BLOCK,7119,Satish,Jegathesh Johnson,"Staircase #3, 7th floor speaker is not working",2022-02-25,F/O SUPPORT REQUIRED,,PA TALK BACK,
481,G4 BLOCK,7121,Balakrishna,Praveen M P,LB FHS #5 need to be shift from store room inside to outside,2022-02-25,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
482,G4 BLOCK,7123,Balakrishna,Jegathesh Johnson,"Stair case #1, 5th floor MCP is not working",2022-02-25,OFFER SHARED AWAITING PO,,FIRE ALARM,Our engineer has been visit the block but didn't get the permission for doing the activity.
483,G4 BLOCK,7125,Balakrishna,Jegathesh Johnson,"Stair # 3, LB & 3rd floor hooter not working",2022-02-25,OFFER SHARED AWAITING PO,,FIRE ALARM,Hooter has been damaged need to be replaced
484,G4 BLOCK,7127,Balakrishna,Jegathesh Johnson,"Staircase #03, 8th, 9th, 10th speaker not working.",2022-02-25,OFFER SHARED AWAITING PO,,PA TALK BACK,"cable has been damaged in all floors from 5th to 10th floor by client during demolition activity, SAFE has been following up on the status of cable damage from day one of the activity. No support/ update on restoring the cable with demolition crew from Building Executives."
485,G4 BLOCK,7129,Balakrishna,Praveen M P,Hydrant pump foot valve water passing,2022-02-25,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
486,G4 BLOCK,7131,Balakrishna,Praveen M P,UB & LB Sprinkler bulb leakage,2022-02-25,COMPLETED,2022-05-19,SPRINKLER SYSTEM,Completed
487,G4 BLOCK,7133,Balakrishna,Praveen M P,1 no Hydrant point need to be install at Terrace,2022-02-25,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
488,G4 BLOCK,7135,Balakrishna,Jegathesh Johnson,2 way Talk back system is not working,2022-02-25,OPEN,,PA TALK BACK,Recommended for System Upgradation
489,G4 BLOCK,7137,Balakrishna,Praveen M P,Pressure gauge & pressure switch calibration need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
490,G4 BLOCK,7139,Balakrishna,Praveen M P,Jockey pump Foot valve leakage need to be rectify,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Waithing for po
491,G4 BLOCK,7141,Balakrishna,Jegathesh Johnson,FA system ground fault & troubles need to be rectified.,2022-02-25,OPEN,,FIRE ALARM,"Loop has been damaged in all floors from 5th to 10th floor by client during demolition activity, SAFE has been following up on the status of loop damage from day one of the activity. No support/ update on restoring the loops with demolition crew frm Building Executives.   Offer has been shared for restoration. Awaiting PO."
492,G6 MLCP,7143,Balakrishna,Praveen M P,All location Sprinkler flow switch need to be check,2022-02-25,OPEN,,SPRINKLER SYSTEM,
493,G6 MLCP,7145,Balakrishna,Praveen M P,1 no Hydrant point need to be install at Terrace,2022-02-25,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,"Offer shared, waiting for po"
494,G6 MLCP,7147,Balakrishna,Jegathesh Johnson,GF & LB Speaker is not working,2022-02-25,COMPLETED,2022-05-15,PA TALK BACK,Completed
495,G6 MLCP,7149,Balakrishna,Praveen M P,Fire extinguishers refilling & HP test need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE EXTINGUISHER,Offer shared
496,G6 MLCP,7151,Balakrishna,Praveen M P,All locations Hose reel hose need to be check & servicing,2022-02-25,COMPLETED,,FIRE FIGHTING,
497,G6 MLCP,7153,Balakrishna,Jegathesh Johnson,Heat detector need to be install at DG room,2022-02-25,OPEN,,FIRE ALARM,the dg room not yet to be complete the construction
498,G1 BLOCK,7155,Satish,Praveen M P,New fire extinguishers need to be install,2022-02-25,OPEN,,FIRE EXTINGUISHER,
499,L1 BLOCK,7157,Venkateshappa,Jegathesh Johnson,115 troubles need to be clear,2022-02-25,OPEN,,FIRE ALARM,"drawing mismatch ,work in progress"
500,L1 BLOCK,7159,Venkateshappa,Jegathesh Johnson,"Staircase 1, 1st & 7th floor Hooter Not working",2022-02-25,OFFER SHARED AWAITING PO,,FIRE ALARM,
501,L1 BLOCK,7161,Venkateshappa,Jegathesh Johnson,"Staircase 1, 1st & 7th floor Speaker Not working",2022-02-25,OFFER SHARED AWAITING PO,,PA TALK BACK,
502,L1 BLOCK,7163,Venkateshappa,Jegathesh Johnson,"Staircase# 3, 1st floor hooter is not working",2022-02-25,OFFER SHARED AWAITING PO,,FIRE ALARM,
503,L1 BLOCK,7165,Venkateshappa,Jegathesh Johnson,"Staircase# 5 LB ,1st & 7th floor speaker is not working",2022-02-25,OFFER SHARED AWAITING PO,,PA TALK BACK,
504,L1 BLOCK,7167,Venkateshappa,Praveen M P,Fire DG B-check need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
505,L1 BLOCK,7169,Venkateshappa,Praveen M P,Some flow switch location not showing in panel,2022-02-25,OPEN,,SPRINKLER SYSTEM,
506,L1 BLOCK,7171,Venkateshappa,Jegathesh Johnson,Some MCP location not showing in panel,2022-02-25,OPEN,,FIRE ALARM,
507,L1 BLOCK,7173,Venkateshappa,Jegathesh Johnson,Hooter is without alarm activated directly,2022-02-25,COMPLETED,2022-05-19,FIRE ALARM,"The issue has been find out and rectified done in presence of F/O, testing ill be sheduled on 21/05/2022"
508,L1 BLOCK,7175,Venkateshappa,Jegathesh Johnson,"DG,LT,LMR & Chiller room hooter, MCP & Detector need to be fix",2022-02-25,OPEN,,FIRE ALARM,
509,L2 BLOCK,7177,Venkateshappa,Praveen M P,Yard Hydrant #2 leakage pipe line need to be rectify,2022-02-25,COMPLETED,2022-08-03,HYDRANT SYSTEM,Leakage rectified
510,L2 BLOCK,7179,Venkateshappa,Praveen M P,Fire DG B-check need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
511,L2 BLOCK,7181,Venkateshappa,Praveen M P,FHC #10 modification work near LT room (Staircase # 6),2022-02-25,OPEN,,HYDRANT SYSTEM,
512,L2 BLOCK,7183,Venkateshappa,Praveen M P,Some flow switch location not showing in panel,2022-02-25,OPEN,,SPRINKLER SYSTEM,
513,L2 BLOCK,7185,Venkateshappa,Jegathesh Johnson,Some MCP location not showing in panel,2022-02-25,OPEN,,FIRE ALARM,
514,L3 BLOCK,7187,Venkateshappa,Praveen M P,Test line butterfly valve water passing need to be rectify,2022-02-25,COMPLETED,2022-11-03,FIRE FIGHTING,New valve delivered and fixed
515,L3 BLOCK,7189,Venkateshappa,Praveen M P,Fire DG B-check need to be done,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
516,L3 BLOCK,7191,Venkateshappa,Jegathesh Johnson,Hooter is without alarm activated directly,2022-02-25,COMPLETED,,FIRE ALARM,Issue has findout and rectified done our team has been physically check the hooter for last PM activity time all are working fine now the system has been working good condition
517,L3 BLOCK,7193,Venkateshappa,Jegathesh Johnson,PA system listen mode is not working,2022-02-25,OPEN,,PA TALK BACK,Recommended for System Upgradation
518,L3 BLOCK,7195,Venkateshappa,Praveen M P,Sprinkler pump main delivery line sluice valve leakage,2022-02-25,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,
519,L3 BLOCK,7197,Venkateshappa,Praveen M P,UB & LB FHC 2 & 5 modification work,2022-02-25,OPEN,,HYDRANT SYSTEM,
520,L3 BLOCK,7199,Venkateshappa,Jegathesh Johnson,"DG,LT,LMR & Chiller room hooter,MCP & Detector need to be fix",2022-02-25,COMPLETED,,FIRE ALARM,work in progress
521,F2 BLOCK,7201,MANJUNATH RAO,Praveen M P,Dg pump A. wing gland leakage,2022-02-25,COMPLETED,2022-03-23,FIRE FIGHTING,Gland leakage Rectified
522,F3 BLOCK,7203,Manjunath rao,Praveen M P,Mlcp 3rd floor ball valve need to be replace,2022-02-25,COMPLETED,,HYDRANT SYSTEM,Report shared
523,H1 BLOCK,7205,Ranjithm,Praveen M P,Hydrant pump cupping gard damage,2022-02-25,COMPLETED,,HYDRANT SYSTEM,Report shared
524,H2 BLOCK,7207,Ranjithm,Jegathesh Johnson,LB all Hooters are not working,2022-02-25,COMPLETED,2022-03-29,FIRE ALARM,"Issue has been rectified, now the hooter has working good condition."
525,H2 BLOCK,7209,Ranjith m,Jegathesh Johnson,UB all Hooters are not working,2022-02-25,COMPLETED,2022-03-29,FIRE ALARM,"Issue has been rectified, now the hooter has working good condition."
526,H2 BLOCK,7211,Ranjith m,Jegathesh Johnson,Ground floor all Hooters are not working,2022-02-25,OPEN,,FIRE ALARM,
527,H2 BLOCK,7213,Ranjith m,Jegathesh Johnson,1st floor Hooters are not working,2022-02-25,OPEN,,FIRE ALARM,
528,G2 BLOCK,7215,Satish,Praveen M P,Jockey pump auto stop problem,2022-02-25,COMPLETED,,FIRE FIGHTING,Report shared
529,D1 BLOCK,7217,Sudeep,Praveen M P,Ground floor pump room fire engine auto mode not working,2022-02-25,COMPLETED,,FIRE FIGHTING,
530,D1 BLOCK,7219,Sudeep,Praveen M P,Ground floor Fire Hydrant Shaft got rusted,2022-02-25,COMPLETED,,FIRE FIGHTING,
531,D1 BLOCK,7221,Sudeep,Jegathesh Johnson,Staircase #1 Hooter & MCP not working,2022-02-25,OPEN,,FIRE ALARM,
532,D1 BLOCK,7223,Sudeep,Praveen M P,Fire hydrant point Quarterly checking & servicing not done,2022-02-25,F/O SUPPORT REQUIRED,,FIRE FIGHTING,Schedule Shortly
